NR.,01.01.10,01.01.20,01.02.10,01.02.20,01.02.30,01.02.40,01.03.10,01.03.20,01.03.30,01.04.10,01.20.10,01.20.20,01.61.10,01.81.10,01.81.20,01.82.10,01.82.20,01.82.30,01.83.10,01.83.20,01.83.30,01.84.10,01.85.10,01.86.10,01.H,02.01.10,02.01.20,02.02.10,02.02.20,02.02.30,02.02.40,02.03.10,02.03.20,02.03.30,02.04.10,02.62.10,02.81.10,02.81.20,02.82.10,02.82.20,02.82.30,02.83.10,02.83.20,02.83.30,02.84.10,02.85.10,02.86.10,02.H,03.01.10,03.01.20,03.02.10,03.02.20,03.02.30,03.02.40,03.03.10,03.03.20,03.03.30,03.04.10,03.62.10,03.81.10,03.81.20,03.82.10,03.82.20,03.82.30,03.83.10,03.83.20,03.83.30,03.84.10,03.85.10,03.86.10,03.H,04.05.10,04.63.10,04.64.10,04.65.10,04.82.10,04.82.20,04.82.30,04.83.10,04.83.20,04.83.30,04.84.10,04.85.10,04.86.10,04.H,05.01.10,05.01.20,05.02.10,05.02.20,05.02.30,05.02.40,05.03.10,05.03.20,05.03.30,05.04.10,05.06.10,05.06.20,05.06.30,05.07.10,05.07.20,05.07.30,05.07.40,05.15.10,05.81.10,05.81.20,05.82.10,05.82.20,05.82.30,05.83.10,05.83.20,05.83.30,05.84.10,05.85.10,05.86.10,05.H,06.08.10,06.08.20,06.08.30,06.81.10,06.81.20,06.82.10,06.82.20,06.82.30,06.83.10,06.83.20,06.83.30,06.84.10,06.85.10,06.86.10,06.H,07.66.20,07.67.10,07.67.20,07.68.10,07.69.10,07.70.10,07.80.10,07.80.20,07.87.10,07.H,08.09.10,08.09.20,08.10.10,08.10.20,08.10.30,08.11.10,08.11.15,08.11.20,08.11.30,08.11.40,08.11.50,08.11.60,08.11.70,08.11.80,08.11.90,08.12.10,08.13.10,08.13.20,08.13.30,08.13.40,08.13.50,08.14.10,08.14.20,08.72.10,08.75.10,08.83.10,08.83.20,08.83.30,08.84.10,08.85.10,08.86.10,08.H,09.01.10,09.01.20,09.02.10,09.02.20,09.02.30,09.02.40,09.03.10,09.03.20,09.03.30,09.81.10,09.81.20,09.82.10,09.82.20,09.82.30,09.83.10,09.83.20,09.83.30,09.84.10,09.85.10,09.86.10,09.H,10.39.10,10.39.20,10.39.30,10.83.10,10.83.20,10.83.30,10.84.10,10.85.10,10.86.10,10.H,11.32.10,11.33.10,11.82.10,11.82.20,11.82.30,11.83.10,11.83.20,11.83.30,11.84.10,11.85.10,11.86.10,11.H,12.35.10,12.35.20,12.35.30,12.35.40,12.35.50,12.35.60,12.35.70,12.35.80,12.36.10,12.37.10,12.82.10,12.82.20,12.82.30,12.83.10,12.83.20,12.83.30,12.85.10,12.86.10,12.H,13.31.10,13.31.20,13.31.30,13.38.10,13.38.20,13.82.10,13.82.20,13.82.30,13.H,14.40.10,14.85.10,14.H
1,7874803747,299999993,Brigitte,,,Moulin,19231213,Avignon,5002,V,,,E,,,1804,19940501,PKA,,,,,19231213,19951001,,,,Lisette,,,Béamont,19020320,Clermont-Ferrand,5002,V,19231213,,,1804,19940501,PK,,,,,19231213,19940501,,,,Guîllaumé,,,Moulin,19030315,Toulon,5002,M,19231213,,,1804,19940501,PK,,,,,19231213,19940501,,,,,,,,,,,,,19940601,19940605,54,,,Jéan,,,Roussæx,19300101,Lille,5002,M,19920913,1804,6030,,,,,H,,,1804,19940501,PK,,,,,19920913,19940501,05,,,,,,,,,,,,,,,,,#ADDIN?,E,19940501,1804,0,0004,20101223153015000,P,,1807,20090928,,,,,,,,,,,,,,,5001,#ADDIN?,6021 Holland Street,Vancouver BCV6N2B2,,,,I,,,,,,#ADDIN?,20140410,58,,,Hélène,,,Dumas,19500723,Narbonne,5002,,,1804,19940501,PK,,,,,19500723,19940501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,5002 6047,,,,00000000,19940501,,,,,,,,,,,,20101223,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100,,,,1804,19940501,PK,,,,,19390301,19940501,04,,,Alain,,,Dumas,19221017,Angoulême,5002,M,,,,19900902,1804,6030,O,H,,,1804,19940501,PK,,,,,19900902,19940501,55,,,,,,,,,,,,,,,,,,,,,,,,,,1807,20090928,W,,20090928,S vd Oyeln,Baron Schimmelpenninck van der Oyelaan,16,,,,2252EB,Snellendam,1807100000000001,1807200000000001,,,,,,,5002,19530406,I,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900303,19960115,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,012,,,,,,,,,,19550201,19940501,04,,,Alain,,,Dumas,19221017,Angoulême,5002,M,19480404,Narbonne,5002,,,,,H,,,1804,19940501,PK,,,,,19480404,19940501,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19920406,W,,19920406,Van Wijngaerdenstraat,Van Wijngaerdenstraat,1,,,,2596TW,Toetsoog,1804100000000001,1804200000000001,,,,,,,5002,19530406,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0057,,,,1804,19940501,PK,,,,,19231213,19940501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19920406,W,,19920406,Van Wijngaerdenstraat,,1,,,,2596TW,,,,,,,,,,5002,19530406,A,,,,,,19920406,19940501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
2,1973795950,299999981,Michal,,,Jansen,19700101,Odessa,9049,M,,,E,,,1804,19940515,ga 9049,,,,,19940513,19951001,51,,,Olga,,,Tsatzina,19510000,Irkoetsk,9049,V,19700101,,,1804,19940101,PK,,,,,19700101,19940101,,,,Andrej,,,Boris,19480000,Irkoetsk,9049,M,19700101,,,1804,19940101,PK,,,,,19700101,19940101,,0075,,,,1804,19940101,PK,,,,,19700101,19940101,,7203674924,301931938,Mohamed,,El,Rafi,19490228,Suez,7014,M,19980815,1804,6030,,,,,P,1804,5 A0025,,,,,,,,19980815,19980817,,,,,,,,,,,,,,,,,,#ADDIN?,E,19940101,1804,0,0004,20110110121500000,P,,1804,19930719,,,,,,,,,,,,,,,5002,#ADDIN?,40 Rue de la Mare Houleuse,77700 Magny-le-Hongre,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,25,,20101222,,,,,20110107,20110110,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,9049,,,,00000000,19940101,,,,,,,,,,,900303,20101223,14
,1973795950,,Michal,,,Jansen,19700101,Odesa,9049,M,,,E,1804,1 H0002,,,,,,,O,19940513,19940514,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19930719,W,,19930719,Roggekamp,Roggekamp,236,,,,2592VD,Toetsoog,1804100000000002,1804200000000002,,,,,,,6050,19930712,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,25,20120427,20070427,,,,,20070511,20070514,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,1973795950,,Michal,,,Boris,19700101,Odessa,9049,M,,,E,,,1804,19940505,ga 9049,,,,,19700101,19940505,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19930719,W,,19930719,Roggekamp,,236,,,,2592VD,,,,,,,,,,6050,19930712,A,,,,,,19930719,19940101,,,,,,,,,,,,,,,,,,,,,,,26,20080324,20030324,,,,,20030412,20030512,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951101,14
,1973795950,,Michal,,,Boris,19700101,Odesa,9049,M,,,E,,,1804,19940503,ga 9049,,,,O,19700101,19940503,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,20030324,,,,O,20030412,20030415,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,1973795950,,Michel,,,Boris,19700101,Odesa,9049,M,,,E,,,1804,19940501,Persoonskaart,,,,O,19700101,19940501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,19981214,,,,,20020412,20020415,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,19951214,,,,,20010329,20010412,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
