artikel omschrijving,artikel nr,artikelnummer als reden voor verzoek,Signalerende Instantie,Contactpersoon,telefoonnummer_contactpersoon,contactpersoon email,postadres regel 1 instantie,postadres regel 2 instantie,Opname in OPS,reisdocument geldig tot,reisdocumentnummer,startdatum_voor_de_verplichiting,totale_vorderingsbedrag_op_dit_moment,Zaaknummer,voornamen,voorvoegsel,geslachtsnaam,bsn,geboortedatum,geboorteplaats,geboorteland,nationaliteit,adres gesignaleerde,postcode,gemeente van inschrijving,land,aantekeningen,Datum opname,Datum van opheffing signalering
Verzoek tot opneming of handhaving in het register,18,"Artikel 18 onder a: een persoon, die wordt verdacht van het plegen van een strafbaar feit waarvoor een bevel tot voorlopige hechtenis is toegelaten,",OvJ te Amsterdam,,,adres@email.nl,Martinetsingel 2,7200 GP Zutphen,Nee,,,,,,Benjamin Joseph,,Diaz Geerman,,24-09-1980,Nijmegen,,,,,,,"wordt verdacht van het plegen van een strafbaar feit waarvoor voorlopige hechtenis is toegelaten; verzoeker;OvJ mr. C.P.; 
Reden: 
KG2010; inmiddels is R. in voorlopige hechtenis geplaatst. Het paspoort is strafrechtelijk ingehouden. Zie ook Potman;",06-09-2011,06-09-2013
Verzoek tot opneming of handhaving in het register,18,"Artikel 18 onder a: een persoon, die wordt verdacht van het plegen van een strafbaar feit waarvoor een bevel tot voorlopige hechtenis is toegelaten,",OvJ te 's-Hertogenbosch,,,adres@email.nl,Wilhelminaplein 100-125,3007 BT Rotterdam,Nee,,,,,,Lambertus Theodorus,,Musampa,,27-01-1951,Accra,,,,,,,"wordt verdacht van het plegen van een strafbaar feit waarvoor voorlopige hechtenis is toegelaten;OvJ mr. P.T.R.0; parketno. 10/999; OR
Archief Ref. BPRXXXXXXX
Reden: 
GEEN KG;",08-03-2012,08-03-2014
Verzoek tot opneming of handhaving in het register,18,"Artikel 18 onder c: een persoon, die de bijzondere voorwaarden verbonden aan een voorwaardelijke veroordeling, een terbeschikkingstelling met voorwaarden of een voorwaardelijke gratieverlening niet naleeft,",,,,adres@email.nl,,,Nee,,,,,jk87654,Cynthia,,Mathijssen,,28-08-2012,Grave,,,Boekstraat 12,2312FV,'s-Gravenhage,,,28-08-2012,28-08-2014
Verzoek tot opneming of handhaving in het register,19,,R-C te 's-Gravenhage,S. Regeling,038-7519xxxx,adres@email.nl,Ten Pol 64,1438 AJ Oude Meer,Nee,,,,,,Nico,,Amerongen,,04-09-1966,Goes,,,,,,,"Faillissement no. XX/XXX; R-C mr. A.M.H. v.d. ; curator mr. A.J. ; OR
Archief Ref. BPR2012/XXXXX
Reden: 
GEEN KG;",10-01-2012,10-01-2014
Verzoek tot opneming of handhaving in het register,19,,R-C te Dordrecht,R. v. Geene,076-5311xxxx,adres@email.nl,Vrouwe Justitiaplein 1,3500 DA Utrecht,Ja,,,,,10/210 F,Frederik Vincent,,Bernard,,14-04-1960,Bien Hoa,,,,,Schouwen-Duiveland,,"Faillissement no. FXXXXX; R-C mr. A.J. vanXXXXX; telno. XXXXXXXXX; curator mr. M.W. ; OR
Archief Ref. BPR201XXXXXX
Reden: 
KG2011; ",19-08-2011,19-08-2013
Verzoek tot opneming of handhaving in het register,19,,R-C te Rotterdam,R.H. Prins,088-152xxxxx,adres@email.nl,Kruseman van Eltenweg 4a,1800 AB Alkmaar,Nee,,,29-11-2011,558007,unit 1 team 4/rp,Manuela Djen,,Bontenbal,,01-01-1944,Felahiye,,,,,'s-Gravenhage,,"Faillissement no. F XXXXX; R-C mr. W.; curator mr. S.A.H.J.
Archief Ref. BPRXXXXX
Reden: 
KG- geen adres bekend.",10-04-2012,10-04-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"20, 21, 23, 23a, 24 onder a",21,Rechtbank te 's-Hertogenbosch,Bram de Booij,06235xxxxxx,adres@email.nl,Prins Clauslaan 60,2500 EH Den Haag,Nee,,,,,,Fred,,Jacob,,01-10-1968,Abcoude,,,Lutjebroekstraat 12,2545NL,Abcoude,,,16-10-2012,16-10-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"20, 21, 23, 23a, 24 onder a",20,Zelfstandigloket Flevoland,Bram de Beer,030 25xxxxxx,adres@email.nl,Kousteensedijk 5,4330 KA Middelburg,Nee,,,,,,Jimmy,,Wood,,24-05-1964,Breukelen,,,Lutjebroekstraat 12,2545NL,'s-Gravenhage,,,16-10-2012,16-10-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"20, 21, 23, 23a, 24 onder a",23,Openbaar Ministerie te Zwolle,Bram de Heer,032 5xxxxxx,adres@email.nl,Buitenop 8 C-D,6040 AK Roermond,Nee,,,,,2012-4455,Santa,,Claus,,01-10-1968,Zoetermeer,,,Lutjebroekstraat 12,2545NL,Maastricht,,,16-10-2012,16-10-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"20, 21, 23, 23a, 24 onder a",23,Openbaar Ministerie te Zwolle,Bram de Heer,032 56xxxxxxx,adres@email.nl,Buitenop 8 C-D,6040 AK Roermond,Nee,,,,,,Kloosterbrink,van der,Jacob,,16-08-1984,Abcoude,,,Lutjebroekstraat 12,2545NL,'s-Gravenhage,,,16-10-2012,16-10-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"20, 21, 23, 23a, 24 onder a",24 onder a,Burgerzaken Gemeente,,,adres@email.nl,Postbus,123,Ja,,,,,,Patrick Robbert,,Abbas,,14-08-1959,District Marowijne,,,,,,,"meervoudige vermissing van het reisdocument (6 of meer keer vermist binnen 5 jaar); na opn. in RPS opn. 3x NIK vermist opgegeven; gemeente Nunspeet; afdeling Burgerzaken; 
Archief Ref. BPR2011/XXXX
Reden: 
KG2007; 5/6/2008; heeft geen paspoort aangevraagd. Woont in Utrecht; signalering laten staan tot maart 2012.",29-10-2012,29-10-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"20, 21, 23, 23a, 24 onder a",23a,Test instantie 2,T. Andarts-Assistente,987-6xxxxxxx,blaaskaak@tandarts.nl,Postbus 1235,2222 PP Daaro,Ja,,,,,Spoelen,Jalal,,Abdillahi,,19-06-1985,Haarlemmermeer,,,,,'s-Gravenhage,,"Achterstand per 23/5/2011 € 16.696,71(excl); lop.verpl.pm € 627,42; zaaknummer XXXXXX;
Archief Ref. BPRXXXXX
Reden: 
KG- geen adres bekend.",14-05-2013,14-05-2013
