A-nummer,Bsn Nummer,Voornamen,VoornaamZonderDiak,AdellijkeTitelPredikaat,VoorvoegselGeslachtsnaam,Geslachtsnaam,GeslachtsnaamZonderDiak,GeslachtsnaamSoundex,GeslachtsnaamTransliteratie,Geboortedatum,Geboorteplaats,Geboorteland,Geslachtsaanduiding,AanduidingGegevensInOnderzoekPersoon,DatumIngangOnderzoekPersoon,DatumEindeOnderzoekPersoon,Nationaliteit,AanduidingGegevensInOnderzoekNationaliteit,DatumIngangOnderzoekNationaliteit,DatumEindeOnderzoekNationaliteit,DatumOverlijden,AanduidingGegevensInOnderzoekOverlijden,DatumIngangOnderzoekOverlijden,DatumEindeOnderzoekOverlijden,OmschrijvingRedenOpschorting,IndicatieGeheim,GemeenteVanInschrijving,FunctieAdres,Gemeentedeel,Straatnaam,Huisnummer,Huisletter,HuisnummerToevoeging,AanduidingBijHuisnummer,Postcode,Woonplaatsnaam,Locatiebeschrijving,LandAdresBuitenland,DatumAanvangAdresBuitenland,Regel1AdresBuitenland,Regel2AdresBuitenland,Regel3AdresBuitenland,LandVanwaarIngeschreven,AanduidingGegevensInOnderzoekAdres,DatumIngangOnderzoekAdres,DatumEindeOnderzoekAdres,VoorvoegselEnGeslachtsnaam,HuisnummerCijfers
NULL,555555021,Peter,peter,NULL,NULL,Veenoord,veenoord,NULL,NULL,19500120,Lekkerkerk,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Rotterdam,W,Test_Gemeentedeel,Alderstraat,1,A,I,to,1234DA,NULL,Test_Locatiebeschrijving,NULL,NULL,NULL,NULL,NULL,Nederland,88310,19800904,NULL,NULL,1
NULL,555555112,Richard,richard,NULL,van,Henegouwen,henegouwen,NULL,NULL,19500220,Maastricht,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Roermond,W,Test_Gemeentedeel,Maasstraat,2,B,ii,by,1235DB,NULL,Test_Locatiebeschrijving,NULL,NULL,NULL,NULL,NULL,Nederland,88310,19800905,NULL,vanhenegouwen,2
NULL,555555379,Fleur,fleur,NULL,van de,Ree,ree,NULL,NULL,19500320,Groningen,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Assen,W,Test_Gemeentedeel,Hollands Diep,3,NULL,NULL,NULL,1236DC,NULL,Test_Locatiebeschrijving,NULL,NULL,NULL,NULL,NULL,Nederland,88310,19800906,NULL,vanderee,3
NULL,555555719,Merel,merel,NULL,van den ,Crommen,crommen,NULL,NULL,19500420,Wezep,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Haarlem,W,Test_Gemeentedeel,Groentetuin,4,NULL,NULL,NULL,1237DC,NULL,Test_Locatiebeschrijving,NULL,NULL,NULL,NULL,NULL,Nederland,88310,19800907,NULL,vandencrommen,4
NULL,555555914,Aygul,aygul,NULL,NULL,Direnç,direnc,NULL,NULL,19500520,Venlo,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Venlo,W,Test_Gemeentedeel,Fleurop,22,NULL,NULL,NULL,1256DC,NULL,Test_Locatiebeschrijving,NULL,NULL,NULL,NULL,NULL,Nederland,88310,19800918,NULL,NULL,22
NULL,690000303,Rogier,rogier,NULL,NULL,Valentijn,valentijn,NULL,NULL,19990202,Ter Aar,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rotterdam,NULL,NULL,Morgen,129,NULL,a,NULL,4781XH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690000479,Susanne,susanne,NULL,NULL,Valentijn,valentijn,NULL,NULL,20021115,Ter Aar,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Delft,NULL,NULL,Paradijsweg,78,NULL,NULL,NULL,3312MR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,10001
NULL,690000595,Amy,amy,NULL,NULL,Valentijn,valentijn,NULL,NULL,20031227,Nieuwkoop,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ter Aar,NULL,NULL,Larikslaan,25,NULL,NULL,NULL,2461YK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690001216,Peter,peter,NULL,NULL,Valentijn,valentijn,NULL,NULL,19900811,Amsterdam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ter Aar,NULL,NULL,Larikslaan,25,NULL,NULL,NULL,2461YK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690001393,Ria,ria,NULL,NULL,Valentijn,valentijn,NULL,NULL,19910419,Den Haag,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ter Aar,NULL,NULL,Larikslaan,25,NULL,NULL,NULL,2461YK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690001897,Kees,kees,NULL,de,Kelder,kelder,NULL,NULL,19990704,Utrecht,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Groningen,NULL,NULL,Vaste pad,63,NULL,NULL,NULL,9578AK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690002269,Fatima,fatima,NULL,NULL,Al Fayed,alfayed,NULL,NULL,19991111,Istanbul,Turkije,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Delft,NULL,NULL,Paradijsweg,78,NULL,NULL,NULL,3312MR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
